"","V1","V2","V3","V4","V5"
"1","European","293.050645481629","96526","95.8550148957299","12.7914597815293"
"2","missing 0.1 ","291.413108242304","95.4955312810328","175.664349553128","12.5481628599801"
"3","90% cov10  ","262.743793445879","86.5431976166832","160.277060575968","10.8430983118173"
"4","map ","260.397219463754","85.798411122145","158.939424031778","10.6544190665343"
"5","MUC|HLA ","259.188679245283","85.5094339622642","158.232373386296","10.5481628599801"
"6","max pop 10-4 ","146.857000993049","46.0089374379345","91.1837140019861","7.00099304865938"
"7","cohorts 0.004 ","146.297914597815","45.987090367428","91.0595829195631","6.90963257199603"
"8","GQ 70 ","146.004965243297","45.9195630585899","90.9424031777557","6.85104270109235"
"9","MQ 40 ","146.004965243297","45.9195630585899","90.9424031777557","6.85104270109235"
"10","AB 0.2 ","144.592850049652","45.558093346574","90.2442899702085","6.66931479642502"
